LPCHMCBP_00211	472
LPCHMCBP_00212	196
LPCHMCBP_00213	1207
LPCHMCBP_00214	26772
LPCHMCBP_00215	3277
LPCHMCBP_00216	1699
LPCHMCBP_00217	166
LPCHMCBP_00218	498
LPCHMCBP_00219	6197
LPCHMCBP_00220	3940
LPCHMCBP_00221	5505
LPCHMCBP_00222	5563
LPCHMCBP_00223	3876
LPCHMCBP_00224	10961
LPCHMCBP_00225	4099
LPCHMCBP_00227	170
LPCHMCBP_00228	0
LPCHMCBP_00229	29
LPCHMCBP_00230	40
LPCHMCBP_00231	28
LPCHMCBP_00232	12721
LPCHMCBP_00233	4891
LPCHMCBP_00234	541
LPCHMCBP_00235	35
LPCHMCBP_00236	347
LPCHMCBP_00237	73
LPCHMCBP_00238	4287
LPCHMCBP_00239	16911
LPCHMCBP_00240	9103
LPCHMCBP_00241	962
LPCHMCBP_00242	432
LPCHMCBP_00243	932
LPCHMCBP_00244	2810
LPCHMCBP_00245	54
LPCHMCBP_00246	442
LPCHMCBP_00247	114
LPCHMCBP_00248	98653
LPCHMCBP_00249	218920
LPCHMCBP_00250	51208
LPCHMCBP_00251	60044
LPCHMCBP_00252	1144
LPCHMCBP_00253	1479
LPCHMCBP_00254	1274
LPCHMCBP_00255	677
LPCHMCBP_00256	5317
LPCHMCBP_00257	81
LPCHMCBP_00258	545
LPCHMCBP_00259	1748
LPCHMCBP_00260	1327
LPCHMCBP_00261	1237
LPCHMCBP_00262	197
LPCHMCBP_00263	154
LPCHMCBP_00264	45
LPCHMCBP_00265	418
LPCHMCBP_00266	202
LPCHMCBP_00267	668
LPCHMCBP_00268	4374
LPCHMCBP_00269	1862
LPCHMCBP_00270	1166
LPCHMCBP_00271	632
LPCHMCBP_00272	1941
LPCHMCBP_00273	4919
LPCHMCBP_00274	4834
LPCHMCBP_00275	1368
LPCHMCBP_00276	842
LPCHMCBP_00277	955
LPCHMCBP_00278	6920
LPCHMCBP_00279	0
LPCHMCBP_00280	9485
LPCHMCBP_00281	632
LPCHMCBP_00282	5550
LPCHMCBP_00283	6376
LPCHMCBP_00284	755
LPCHMCBP_00285	10454
LPCHMCBP_00286	2149
LPCHMCBP_00287	4643
LPCHMCBP_00288	847
LPCHMCBP_00289	1665
LPCHMCBP_00290	510
LPCHMCBP_00291	461
LPCHMCBP_00292	15588
LPCHMCBP_00293	8383
LPCHMCBP_00294	19583
LPCHMCBP_00295	7926
LPCHMCBP_00296	2113
LPCHMCBP_00297	1299
LPCHMCBP_00298	2893
LPCHMCBP_00299	31839
LPCHMCBP_00300	1256
LPCHMCBP_00301	1264
LPCHMCBP_00302	578
LPCHMCBP_00303	987
LPCHMCBP_00304	1305
LPCHMCBP_00305	170
LPCHMCBP_00306	3091
LPCHMCBP_00307	460
LPCHMCBP_00308	835
LPCHMCBP_00309	8768
LPCHMCBP_00310	8558
LPCHMCBP_00311	18
LPCHMCBP_00312	33
LPCHMCBP_00313	16
LPCHMCBP_00314	9
LPCHMCBP_00315	7
LPCHMCBP_00316	47
LPCHMCBP_00317	36
LPCHMCBP_00318	700
LPCHMCBP_00319	814
LPCHMCBP_00320	2663
LPCHMCBP_00321	1331
LPCHMCBP_00322	771
LPCHMCBP_00323	1165
LPCHMCBP_00324	1400
LPCHMCBP_00325	8327
LPCHMCBP_00326	3243
LPCHMCBP_00327	3905
LPCHMCBP_00328	676
LPCHMCBP_00329	475
LPCHMCBP_00330	0
LPCHMCBP_00331	210
LPCHMCBP_00332	23
LPCHMCBP_00333	138
LPCHMCBP_00334	9
LPCHMCBP_00335	48
LPCHMCBP_00336	32
LPCHMCBP_00337	45
LPCHMCBP_00338	39
LPCHMCBP_00339	50
LPCHMCBP_00340	5
LPCHMCBP_00341	22
LPCHMCBP_00342	17
LPCHMCBP_00343	22
LPCHMCBP_00344	103
LPCHMCBP_00345	606
LPCHMCBP_00346	75
LPCHMCBP_00347	141
LPCHMCBP_00348	193
LPCHMCBP_00349	184
LPCHMCBP_00350	300
LPCHMCBP_00351	335
LPCHMCBP_00352	9276
LPCHMCBP_00353	4881
LPCHMCBP_00354	1308
LPCHMCBP_00355	316
LPCHMCBP_00356	312
LPCHMCBP_00357	225
LPCHMCBP_00358	521
LPCHMCBP_00359	573
LPCHMCBP_00360	384
LPCHMCBP_00361	274
LPCHMCBP_00362	66
LPCHMCBP_00363	129
LPCHMCBP_00364	20
LPCHMCBP_00365	19
LPCHMCBP_00366	2789
LPCHMCBP_00367	1524
LPCHMCBP_00368	104
LPCHMCBP_00369	4298
LPCHMCBP_00370	196
LPCHMCBP_00371	18
LPCHMCBP_00372	2
LPCHMCBP_00373	62
LPCHMCBP_00374	6
LPCHMCBP_00375	277
LPCHMCBP_00376	804
LPCHMCBP_00377	1171
LPCHMCBP_00378	1584
LPCHMCBP_00379	148
LPCHMCBP_00380	1531
LPCHMCBP_00381	47600
LPCHMCBP_00382	32263
LPCHMCBP_00383	1018
LPCHMCBP_00384	23322
LPCHMCBP_00385	8303
LPCHMCBP_00386	1352
LPCHMCBP_00387	4891
LPCHMCBP_00388	5259
LPCHMCBP_00389	6585
LPCHMCBP_00390	5246
LPCHMCBP_00391	487
LPCHMCBP_00392	1745
LPCHMCBP_00393	81
LPCHMCBP_00394	0
LPCHMCBP_00395	8316
LPCHMCBP_00421	0
LPCHMCBP_00423	0
LPCHMCBP_00424	41411
LPCHMCBP_00425	3169
LPCHMCBP_00426	3401
LPCHMCBP_00427	26167
LPCHMCBP_00428	6236
LPCHMCBP_00429	2291
LPCHMCBP_00430	9151
LPCHMCBP_00431	3753
LPCHMCBP_00432	1076
LPCHMCBP_00433	2284
LPCHMCBP_00434	10601
LPCHMCBP_00435	741
LPCHMCBP_00436	85664
LPCHMCBP_00437	4556
LPCHMCBP_00438	1939
LPCHMCBP_00439	337
LPCHMCBP_00440	2682
LPCHMCBP_00441	72418
LPCHMCBP_00442	1091
LPCHMCBP_00443	5364
LPCHMCBP_00444	3266
LPCHMCBP_00445	1185
LPCHMCBP_00446	3997
LPCHMCBP_00447	20055
LPCHMCBP_00448	7393
LPCHMCBP_00449	6681
LPCHMCBP_00450	4079
LPCHMCBP_00451	1969
LPCHMCBP_00452	4928
LPCHMCBP_00453	5469
LPCHMCBP_00454	10384
LPCHMCBP_00455	838
LPCHMCBP_00456	1996
LPCHMCBP_00457	414
LPCHMCBP_00458	813
LPCHMCBP_00459	3140
LPCHMCBP_00460	682
LPCHMCBP_00461	9205
LPCHMCBP_00462	14587
LPCHMCBP_00463	4206
LPCHMCBP_00464	613
LPCHMCBP_00465	879
LPCHMCBP_00466	1957
LPCHMCBP_00467	4275
LPCHMCBP_00468	5478
LPCHMCBP_00469	1980
LPCHMCBP_00470	21137
LPCHMCBP_00471	14827
LPCHMCBP_00472	3224
LPCHMCBP_00473	4352
LPCHMCBP_00474	5444
LPCHMCBP_00475	2851
LPCHMCBP_00476	1623
LPCHMCBP_00477	2372
LPCHMCBP_00478	1082
LPCHMCBP_00479	3240
LPCHMCBP_00480	103
LPCHMCBP_00481	2685
LPCHMCBP_00482	4923
LPCHMCBP_00483	1969
LPCHMCBP_00484	6706
LPCHMCBP_00485	2171
LPCHMCBP_00486	20595
LPCHMCBP_00487	3869
LPCHMCBP_00488	5860
LPCHMCBP_00489	2072
LPCHMCBP_00490	1686
LPCHMCBP_00491	4821
LPCHMCBP_00492	2287
LPCHMCBP_00493	417
LPCHMCBP_00494	29
LPCHMCBP_00495	2
LPCHMCBP_00496	892
LPCHMCBP_00497	393
LPCHMCBP_00498	316
LPCHMCBP_00499	428
LPCHMCBP_00500	416
LPCHMCBP_00501	695
