"","BH_ERR1797972","BH_ERR1797973","BH_ERR1797974","Serum_ERR1797969","Serum_ERR1797970","Serum_ERR1797971"
"LPCHMCBP_00099",2966.62812120141,2770.7325524361,2544.73171500733,1259.8773667646,1210.09566612153,1191.21399812344
"LPCHMCBP_00100",4330.65787121974,4256.40910697131,4163.38688054077,1744.6235712406,1600.28977887092,1676.87920345155
"LPCHMCBP_00101",4812.34794983102,4819.41184022887,4489.8882281117,1372.09784846907,1527.19012230521,1561.6004294396
"LPCHMCBP_00102",18332.4505721756,18671.2672100073,19197.2898391475,4013.3283611629,3898.9776279034,3874.64768206819
"LPCHMCBP_00103",9766.74439165327,10134.0491986361,9905.85300569729,3581.80011708283,3495.94168359517,3503.19385469636
"LPCHMCBP_00104",792.193513028001,848.570732791095,933.002335634493,174.693739560565,155.089811902922,140.896279347934
"LPCHMCBP_00105",0.910567256354024,1.80739240211096,0.989398022942198,0,0,0
"LPCHMCBP_00106",10488.824225942,11538.3930950764,11060.4804984708,7194.83686309371,7420.60297461626,7083.24022540069
"LPCHMCBP_00107",7046.8799969238,7385.90905122644,6781.33404924583,3075.07258113894,3322.08304095241,3066.6288679289
"LPCHMCBP_00108",6670.81572004958,6041.20910405588,5602.96100392167,2908.47722685602,2736.2979552299,2745.34265517338
"LPCHMCBP_00109",4307.89368981089,4515.76991667423,4519.57016879996,1632.40308953614,1696.10959896381,1592.55491505392
"LPCHMCBP_00110",1067.18482444692,1043.76911221908,995.334411079852,350.544391303649,402.048111111397,333.027569367844
"LPCHMCBP_00111",733.917208621344,763.62328989188,864.733872051481,322.778498923162,299.313458640672,297.803499530861
"LPCHMCBP_00112",3611.30973870006,3359.03877932322,3197.73441014918,1254.092805852,1252.57249358539,1264.86432596441
"LPCHMCBP_00113",4310.62539157995,4443.47422058979,4406.77879418455,1616.20631898085,1705.98793093215,1566.93740971793
"LPCHMCBP_00114",3887.21161737533,4235.62409434703,3784.44743775391,1370.94093628655,1359.25847884345,1378.00830786502
"LPCHMCBP_00115",1449.62307211561,1423.32151666238,1368.33746572906,556.474759792262,594.675584494008,550.776364723743
"LPCHMCBP_00116",977.949233324222,897.370327648091,1000.28140119456,345.916742573568,394.145445536726,343.701529924506
"LPCHMCBP_00117",2398.4341532365,2286.35138867036,2301.33980136355,1217.07161601135,1368.14897761495,1274.4708904654
"LPCHMCBP_00118",415.218668897435,457.270277734073,456.112488576353,231.382436504059,234.116467649634,203.872646632238
"LPCHMCBP_00119",6494.1656723169,6717.17386244538,6612.14698732271,2115.99238182962,2002.33788998232,1967.21093059275
"LPCHMCBP_00120",0.910567256354024,0.90369620105548,0,1.1569121825203,0.9878331968339,0
"LPCHMCBP_00121",19004.4492073648,18762.5405263139,18832.2019686818,4809.28394273687,4650.718690694,4622.89231709017
"LPCHMCBP_00122",6740.01883153249,6652.10773596939,7172.146268308,1700.66090830483,1664.49893666512,1661.93565867222
"LPCHMCBP_00123",5017.22558251067,5029.9730550748,5062.74968339523,1148.81379724265,1166.63100546084,1207.22493895844
"LPCHMCBP_00124",2101.58922766509,2300.81052788725,2423.03575818544,274.18818725731,339.814619710862,297.803499530861
"LPCHMCBP_00125",6710.88067932916,6425.27998950446,6273.77286347648,2426.04484674506,2296.71218263882,2238.32952873195
"LPCHMCBP_00126",12406.4788678236,12735.7905614749,12475.3196712782,6516.88632413682,6782.46272946156,6543.13782123361
"LPCHMCBP_00127",6884.79902529278,7093.11148208446,6913.91338432008,3446.44139172796,3469.27018728066,3396.45424912975
"LPCHMCBP_00128",19441.5214904148,17858.8443252584,17619.1999925547,11408.3110318326,11369.9600955582,11120.1321079301
"LPCHMCBP_00129",3934.56111470574,3668.10288008419,3836.88553296984,2051.20529960848,1996.41089080131,2060.0743874357
"LPCHMCBP_00130",7317.31847206094,7698.58793679163,7179.07205446859,2781.21688677879,3093.89357248378,2946.01311363862
"LPCHMCBP_00131",3807.08169881618,3567.79260176703,3631.09074419787,1910.06201334101,1890.71273874009,1892.49320669612
"LPCHMCBP_00132",2083.37788253801,2007.10926254422,1952.08229926496,1320.03680025566,1229.85233005821,1123.96804661647
"LPCHMCBP_00133",3298.98516977063,2678.55553992844,2672.36405996688,1945.92629099914,1711.91493011315,1751.59692734818
"LPCHMCBP_00134",3241.61943262033,2376.72100877591,2415.12057400191,1581.49895350524,1519.28745673054,1598.95929138792
"LPCHMCBP_00135",3512.05790775747,3368.97943753483,3107.69919006144,1915.84657425361,1871.94390800024,1782.5514129625
"LPCHMCBP_00136",8070.35759306572,7900.112189627,7747.97591766035,5700.10632327749,5004.36297516054,5219.56671220756
"LPCHMCBP_00137",5196.60733201242,4789.58986559404,4753.06810221432,2144.91518639263,2352.03084166152,2334.39517374191
"LPCHMCBP_00138",319.609106980263,302.738227353586,300.776998974428,1093.28201248168,1015.49252634525,1020.43062921686
"LPCHMCBP_00139",3849.87835986482,4053.07746173383,4019.92416721415,8834.18142572497,8563.52598335308,8838.03934091587
"LPCHMCBP_00140",28.2275849469748,36.1478480422192,45.5123090553411,21.9813314678856,21.7323303303458,19.213129001991
"LPCHMCBP_00141",0,0,0,0,0,0
"LPCHMCBP_00142",0.910567256354024,0.90369620105548,0,1.1569121825203,0,0
"LPCHMCBP_00143",0,0,2.9681940688266,2.31382436504059,0,0
"LPCHMCBP_00144",0,0,0,0,0,0
"LPCHMCBP_00145",0,0,0,1.1569121825203,0,0
"LPCHMCBP_00146",0,0,0,0,0,0
"LPCHMCBP_00148",5.46340353812415,6.32587340738836,3.95759209176879,24.2951558329262,32.5984954955187,37.3588619483159
"LPCHMCBP_00149",0,0,0,0,0,0
"LPCHMCBP_00150",0,0,0,0,0,0
"LPCHMCBP_00151",0,0,0,0,0,0
"LPCHMCBP_00152",17.3007778707265,15.3628354179432,12.8621742982486,89.0822380540627,81.0023221403798,71.5155357296333
"LPCHMCBP_00153",0,0,0,0,0,0
"LPCHMCBP_00154",0,0,0,0,0,0
"LPCHMCBP_00155",0,0,0,0,0,0
"LPCHMCBP_00156",21.8536141524966,18.0739240211096,16.8197663900174,424.586770984948,495.892264810618,458.980303936452
"LPCHMCBP_00157",24.5853159215587,28.0145822327199,38.5865228947457,366.741161858933,396.121111930394,361.847262870831
"LPCHMCBP_00158",83.7721875845702,71.3919998833829,77.1730457894915,1744.6235712406,1826.50358094588,1875.41486980546
"LPCHMCBP_00159",1.82113451270805,0,0.989398022942198,21.9813314678856,33.5863286923526,27.7522974473204
"LPCHMCBP_00160",1.82113451270805,4.5184810052774,5.93638813765319,301.954079637797,284.495960688163,250.838073081549
